wavelength_angstrom,opacity_cm_minus_1
5073.2,1.4616488795895076e-15
5073.3,1.462458321031112e-15
5073.4,1.4632684350455767e-15
5073.5,1.4640792223782492e-15
5073.6,1.4648906837754937e-15
5073.7,1.465702819984707e-15
5073.8,1.4665156317543405e-15
5073.9,1.4673291198338668e-15
5074.0,1.468143284973797e-15
5074.1,1.4689581279257011e-15
5074.2,1.4697736494421747e-15
5074.3,1.4705898502768603e-15
5074.4,1.471406731184461e-15
5074.5,1.4722242929207136e-15
5074.6,1.4730425362424034e-15
5074.7,1.473861461907385e-15
5074.8,1.4746810706745504e-15
5074.9,1.475501363303846e-15
5075.0,1.4763223405562924e-15
5075.1,1.4771440031939523e-15
5075.2,1.47796635197995e-15
5075.3,1.4787893876784867e-15
5075.4,1.4796131110548136e-15
5075.5,1.4804375228752459e-15
5075.6,1.4812626239071845e-15
5075.7,1.4820884149190823e-15
5075.8,1.4829148966804695e-15
5075.9,1.4837420699619433e-15
5076.0,1.484569935535194e-15
5076.1,1.4853984941729712e-15
5076.2,1.4862277466491008e-15
5076.3,1.487057693738509e-15
5076.4,1.4878883362171866e-15
5076.5,1.4887196748622062e-15
5076.6,1.489551710451746e-15
5076.7,1.4903844437650526e-15
5076.8,1.4912178755824631e-15
5076.9,1.4920520066854235e-15
5077.0,1.4928868378564536e-15
5077.1,1.4937223698791695e-15
5077.2,1.4945586035383027e-15
5077.3,1.4953955396196628e-15
5077.4,1.496233178910162e-15
5077.5,1.4970715221978326e-15
5077.6,1.4979105702717914e-15
5077.7,1.498750323922263e-15
5077.8,1.4995907839405973e-15
5077.9,1.500431951119235e-15
5078.0,1.5012738262517297e-15
5078.1,1.5021164101327666e-15
5078.2,1.5029597035581255e-15
5078.3,1.5038037073247074e-15
5078.4,1.5046484222305482e-15
5078.5,1.5054938490747855e-15
5078.6,1.5063399886576825e-15
5078.7,1.5071868417806446e-15
5078.8,1.5080344092461838e-15
5078.9,1.5088826918579434e-15
5079.0,1.509731690420712e-15
5079.1,1.5105814057403954e-15
5079.2,1.5114318386240389e-15
5079.3,1.512282989879818e-15
5079.4,1.5131348603170634e-15
5079.5,1.5139874507462287e-15
5079.6,1.5148407619789103e-15
5079.7,1.5156947948278643e-15
5079.8,1.516549550106976e-15
5079.9,1.5174050286312798e-15
5080.0,1.518261231216974e-15
5080.1,1.5191181586813948e-15
5080.2,1.5199758118430306e-15
5080.3,1.5208341915215403e-15
5080.4,1.5216932985377277e-15
5080.5,1.5225531337135521e-15
5080.6,1.523413697872154e-15
5080.7,1.5242749918378186e-15
5080.8,1.5251370164359966e-15
5080.9,1.5259997724933248e-15
5081.0,1.5268632608375904e-15
5081.1,1.527727482297753e-15
5081.2,1.528592437703962e-15
5081.3,1.5294581278875257e-15
5081.4,1.5303245536809289e-15
5081.5,1.5311917159178535e-15
5081.6,1.5320596154331457e-15
5081.7,1.5329282530628353e-15
5081.8,1.533797629644153e-15
5081.9,1.5346677460155014e-15
5082.0,1.5355386030164711e-15
5082.1,1.5364102014878637e-15
5082.2,1.5372825422716543e-15
5082.3,1.5381556262110152e-15
